No,Tahun,Daerah,ID,CHT-A,CHT-R,KFD,IKFD,Kode Kategori,Kode Kategori
1,2017,Provinsi Aceh,990015,5.888.531.499,5.888.531.499,3.339.298.083.342,"1,022",Tinggi,4
2,2017,Kab. Aceh Barat,990078,267.660.659,267.660.659,288.363.266.290,"0,613",Rendah,2
3,2017,Kab. Aceh Besar,990022,829.716.776,829.716.776,301.181.145.997,"0,64",Rendah,2
4,2017,Kab. Aceh Selatan,990061,267.660.659,267.660.659,284.018.350.420,"0,604",Rendah,2
5,2017,Kab. Aceh Singkil,980007,267.660.659,68.217.409,115.007.250.704,"0,244",Sangat Rendah,1
6,2017,Kab. Aceh Tengah,990082,609.253.352,609.253.352,341.151.948.402,"0,725",Sedang,3
7,2017,Kab. Aceh Tenggara,990099,267.660.658,136.143.158,264.806.826.053,"0,563",Rendah,2
8,2017,Kab. Aceh Timur,990057,341.207.659,341.207.659,309.556.068.887,"0,658",Rendah,2
9,2017,Kab. Aceh Utara,990040,267.660.659,267.660.659,517.692.614.916,"1,1",Sedang,3
10,2017,Kab. Bireuen,980053,267.660.659,267.660.659,372.360.268.235,"0,791",Sedang,3
11,2017,Kab. Pidie,990036,619.873.290,619.873.290,411.654.178.182,"0,875",Sedang,3
12,2017,Kab. Simeulue,993372,267.660.659,267.660.659,163.855.412.161,"0,348",Sangat Rendah,1
13,2017,Kota Banda Aceh,990104,267.660.659,267.660.659,390.165.677.146,"0,829",Sedang,3
14,2017,Kota Sabang,990111,267.660.659,267.660.659,157.312.918.836,"0,334",Sangat Rendah,1
15,2017,Kota Langsa,994672,267.660.659,267.660.659,209.762.824.239,"0,446",Sangat Rendah,1
16,2017,Kota Lhokseumawe,994686,267.660.659,267.660.659,227.036.462.363,"0,483",Sangat Rendah,1
17,2017,Kab. Gayo Lues,997430,4.803.869.110,4.803.869.110,260.768.211.964,"0,554",Rendah,2
18,2017,Kab. Aceh Barat Daya,997426,267.660.659,267.660.659,97.249.533.217,"0,207",Sangat Rendah,1
19,2017,Kab. Aceh Jaya,997447,267.660.659,267.660.659,218.188.344.522,"0,464",Sangat Rendah,1
20,2017,Kab. Nagan Raya,997451,267.660.659,291.659,303.747.195.398,"0,646",Rendah,2
21,2017,Kab. Aceh Tamiang,997468,267.660.659,267.660.659,262.625.462.992,"0,558",Rendah,2
22,2017,Kab. Bener Meriah,987532,1.739.105.284,1.739.105.284,238.914.041.998,"0,508",Sangat Rendah,1
23,2017,Kab. Pidie Jaya,963311,514.311.816,514.311.816,200.975.176.299,"0,427",Sangat Rendah,1
24,2017,Kota Subulussalam,963327,267.660.659,267.660.659,94.466.055.535,"0,201",Sangat Rendah,1
25,2017,Provinsi Sumatera Utara,990125,5.069.433.556,5.069.433.556,2.579.611.300.389,"0,79",Sedang,3
26,2017,Kab. Asahan,990221,211.122.173,211.122.173,457.242.283.168,"0,972",Sedang,3
27,2017,Kab. Dairi,990192,1.803.833.522,1.803.833.522,274.113.898.861,"0,583",Rendah,2
28,2017,Kab. Deli Serdang,990132,367.854.251,367.854.251,760.213.497.775,"1,616",Tinggi,4
29,2017,Kab. Karo,990146,437.187.002,437.187.002,533.939.731.535,"1,135",Sedang,3
30,2017,Kab. Labuhanbatu,990188,210.810.000,158.107.500,304.440.975.236,"0,647",Rendah,2
