id_pemda,nama_pemda,apbd_pra,apbd_pasca,trd_pra,trd_pasca,pad_pra,pad_pasca,totbl_covid,pad_transfer_pra,pad_transfer_pasca,pad_apbd_pra,pad_apbd_pasca
990015,"Provinsi Aceh",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990078,"Kab. Aceh Barat",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990022,"Kab. Aceh Besar",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990061,"Kab. Aceh Selatan",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
980007,"Kab. Aceh Singkil",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990082,"Kab. Aceh Tengah",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990099,"Kab. Aceh Tenggara",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990057,"Kab. Aceh Timur",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990040,"Kab. Aceh Utara",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
980053,"Kab. Bireuen",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990036,"Kab. Pidie",2.25E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
993372,"Kab. Simeulue",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990104,"Kota Banda Aceh",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990111,"Kota Sabang",7.91E+11,6.22E+11,4.87E+11,4.01E+11,61735621334,46101913899,29233183935,0.126758228,0.114999212,0.07808668,0.074074364
994672,"Kota Langsa",9.66E+11,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
994686,"Kota Lhokseumawe",9.34E+11,7.32E+11,6.78E+11,6.24E+11,67223805350,67381305350,13428574123,0.099111537,0.10806091,0.071979608,0.092040917
997430,"Kab. Gayo Lues",1.03E+12,7.40E+11,7.45E+11,6.57E+11,54102613000,49621638000,0,0.072631681,0.0755817,0.052757316,0.067081185
997426,"Kab. Aceh Barat Daya",1.14E+12,7.96E+11,6.20E+11,5.10E+11,94698663624,94698663624,55934313000,0.152789509,0.185540193,0.083141519,0.11892913
997447,"Kab. Aceh Jaya",1.00E+12,6.73E+11,7.48E+11,6.60E+11,83120597894,80368235691,24351349499,0.111089286,0.121719173,0.082921318,0.119450356
997451,"Kab. Nagan Raya",1.29E+12,8.70E+11,9.34E+11,8.19E+11,89412809632,89362809632,47394166505,0.095763274,0.109163776,0.069072273,0.102747528
997468,"Kab. Aceh Tamiang",1.37E+12,9.50E+11,1.14E+12,9.92E+11,1.40E+11,1.25E+11,23908994788,0.122403957,0.12565661,0.101910176,0.131265801
987532,"Kab. Bener Meriah",1.04E+12,7.17E+11,8.16E+11,7.49E+11,1.03E+11,98774550041,9152374137,0.12610115,0.13188594,0.098563604,0.13777724
963311,"Kab. Pidie Jaya",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
963327,"Kota Subulussalam",7.62E+11,5.73E+11,5.44E+11,4.66E+11,66942889328,59942889328,35107148724,0.122984018,0.128591293,0.087864972,0.104522426
990125,"Provinsi Sumatera Utara",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990221,"Kab. Asahan",1.77E+12,1.64E+12,1.49E+12,1.31E+12,1.52E+11,1.27E+11,84705432610,0.101571124,0.097266607,0.085585132,0.077909291
990192,"Kab. Dairi",1.23E+12,1.09E+12,9.86E+11,8.48E+11,86927335000,70591201000,53839905470,0.088134455,0.083219227,0.07091596,0.064608227
990132,"Kab. Deli Serdang",4.00E+12,3.98E+12,2.42E+12,2.42E+12,1.18E+12,1.18E+12,1.49E+11,0.487826136,0.487826136,0.295247066,0.296582864
990146,"Kab. Karo",1.38E+12,1.30E+12,1.20E+12,1.05E+12,1.04E+11,84376203072,38708970341,0.08644177,0.07998507,0.075295524,0.06501655
990188,"Kab. Labuhanbatu",1.49E+12,1.40E+12,1.01E+12,9.00E+11,2.33E+11,2.33E+11,27757355250,0.23064557,0.259174611,0.156513837,0.166934151
990150,"Kab. Langkat",1.94E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
941915,"Kab. Mandailing Natal",1.69E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
990235,"Kab. Nias",8.64E+11,9.22E+11,8.15E+11,7.16E+11,88468900000,86617300000,12000000000,0.108538148,0.120907535,0.102419643,0.093944934
990171,"Kab. Simalungun",2.23E+12,2.21E+12,2.04E+12,1.82E+12,1.74E+11,1.32E+11,1.14E+11,0.085504371,0.072390266,0.078388384,0.059649292
990214,"Kab. Tapanuli Selatan",1.57E+12,1.32E+12,1.23E+12,1.06E+12,1.65E+11,1.37E+11,23128962500,0.134272507,0.129402044,0.10565957,0.103481588
990167,"Kab. Tapanuli Tengah",1.45E+12,1.40E+12,1.07E+12,9.85E+11,1.14E+11,1.09E+11,24131477027,0.106571732,0.110813195,0.078359568,0.077861665
990200,"Kab. Tapanuli Utara",1.44E+12,1.21E+12,1.14E+12,1.00E+12,1.50E+11,95793851339,36257819740,0.131166995,0.095688823,0.104106038,0.079162932
941922,"Kab. Toba Samosir",1.20E+12,1.05E+12,9.95E+11,8.72E+11,60503708000,50666966400,7612322700,0.060832463,0.058077021,0.050394797,0.048131382
990260,"Kota Binjai",9.84E+11,8.26E+11,7.36E+11,6.71E+11,1.51E+11,91966224986,45949293000,0.205469242,0.137160254,0.153660148,0.111274238
990242,"Kota Medan",6.20E+12,4.99E+12,2.32E+12,2.07E+12,2.64E+12,1.67E+12,5.00E+11,1.1350145,0.81060927,0.42527387,0.33583991
990277,"Kota Pematang Siantar",1.05E+12,9.73E+11,8.37E+11,7.66E+11,1.19E+11,1.17E+11,56022991466,0.142170329,0.152351824,0.112998662,0.119953096
990298,"Kota Sibolga",7.24E+11,6.46E+11,5.58E+11,4.99E+11,1.23E+11,1.22E+11,0,0.220569669,0.244200773,0.169956554,0.188851593
990281,"Kota Tanjung Balai",7.46E+11,5.34E+11,5.44E+11,4.88E+11,87102141086,43551070543,16135400000,0.160204251,0.089170207,0.116740132,0.081534558
990256,"Kota Tebing Tinggi",6.57E+11,6.71E+11,4.37E+11,4.87E+11,1.19E+11,1.17E+11,28916683268,0.273531744,0.241292726,0.181835495,0.174973664
994690,"Kota Padang Sidempuan",8.87E+11,7.24E+11,7.53E+11,6.67E+11,92821680442,76217368628,56000000000,0.123202642,0.114286062,0.104645036,0.105262823
998147,"Kab. Pakpak Bharat",5.83E+11,5.16E+11,5.20E+11,4.36E+11,22677591706,20816191706,21826425552,0.043651317,0.047725229,0.03892634,0.040371735
998130,"Kab. Nias Selatan",1.72E+12,1.59E+12,1.41E+12,1.31E+12,31079236300,12079236300,12273006600,0.021986359,0.009197544,0.01810045,0.007607107
998151,"Kab. Humbang Hasundutan",1.12E+12,9.68E+11,9.13E+11,7.97E+11,70130037834,57339466904,50879649447,0.076777806,0.071955836,0.062363668,0.059218597
987418,"Kab. Serdang Bedagai",1.67E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
987528,"Kab. Samosir",9.41E+11,8.04E+11,8.12E+11,6.73E+11,71993820280,49068947078,0,0.088674624,0.072927651,0.076470718,0.061007893
963333,"Kab. Batu Bara",1.37E+12,1.24E+12,1.03E+12,9.08E+11,1.76E+11,1.61E+11,0,0.170559776,0.177707657,0.128553708,0.130462399
975013,"Kab. Padang Lawas",1.21E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
975163,"Kab. Padang Lawas Utara",1.29E+12,1.12E+12,1.12E+12,9.84E+11,59455282526,46008553245,8003426000,0.053131053,0.046741582,0.046217147,0.041174627
977267,"Kab. Labuhanbatu Selatan",1.05E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
977117,"Kab. Labuhanbatu Utara",1.11E+12,9.69E+11,8.40E+11,7.25E+11,59788488256,55241083256,40662090632,0.071175256,0.076175044,0.054081941,0.056984615
978536,"Kab. Nias Utara",9.63E+11,8.71E+11,7.65E+11,6.64E+11,1.46E+11,1.59E+11,27990090000,0.191155432,0.239304281,0.151858574,0.182274461
978397,"Kab. Nias Barat",7.94E+11,6.44E+11,6.70E+11,5.78E+11,23000000000,16942258648,22780445000,0.034337247,0.029326516,0.028978511,0.026288011
978401,"Kota Gunungsitoli",7.90E+11,7.11E+11,6.80E+11,6.15E+11,36896811787,26498765650,15097302908,0.05427619,0.04307077,0.046681449,0.037250879
990303,"Provinsi Sumatera Barat",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990331,"Kab. Limapuluh Kota",1.46E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
990310,"Kab. Agam",1.56E+12,1.17E+12,1.20E+11,1.04E+12,1.25E+11,1.10E+11,39677233036,1.043156257,0.106584257,0.080063025,0.094826289
980060,"Kab. Kepulauan Mentawai",1.02E+12,8.17E+11,8.68E+11,7.11E+11,50316759,17982600000,0,5.80E-05,0.025299573,4.94E-05,0.022000405
990352,"Kab. Padang Pariaman",1.51E+12,1.41E+12,1.24E+12,1.08E+12,1.09E+11,86478132000,34186886207,0.088133677,0.080384651,0.072524676,0.061252899
990324,"Kab. Pasaman",1.12E+12,1.03E+12,9.15E+11,8.31E+11,95921682395,86882651408,0,0.104811034,0.104508788,0.085879096,0.08407128
990366,"Kab. Pesisir Selatan",1.86E+12,1.68E+12,1.45E+12,1.27E+12,1.56E+11,1.56E+11,46093391519,0.108235419,0.123587639,0.08396871,0.093087398
990387,"Kab. Sijunjung",1.06E+12,9.26E+11,8.61E+11,7.56E+11,81239619854,58785768475,56621649371,0.094375468,0.077808865,0.076318635,0.06346542
990345,"Kab. Solok",1.26E+12,1.12E+12,1.05E+12,9.33E+11,75296758346,75021832448,35000000000,0.071636629,0.080443632,0.05963984,0.066948657
990370,"Kab. Tanah Datar",1.46E+12,1.26E+12,1.13E+12,9.99E+11,1.65E+11,1.48E+11,55070621371,0.146241666,0.148447496,0.113134071,0.117673158
990391,"Kota Bukit Tinggi",9.96E+11,8.12E+11,6.16E+11,5.59E+11,1.51E+11,61998684857,69504064954,0.246002333,0.110937709,0.152043771,0.076379839
990409,"Kota Padang Panjang",6.45E+11,5.51E+11,4.70E+11,4.17E+11,97543849569,76911999036,19100000000,0.207583547,0.184434345,0.151343508,0.139481052
990434,"Kota Padang",2.79E+12,2.25E+12,1.54E+12,1.41E+12,8.82E+11,6.50E+11,1.66E+11,0.571900148,0.462626845,0.316444377,0.289225477
990441,"Kota Payakumbuh",8.43E+11,6.87E+11,5.79E+11,5.09E+11,1.12E+11,89646405421,39134915581,0.193766134,0.176162206,0.133139288,0.13047887
990420,"Kota Sawahlunto",6.85E+11,5.42E+11,5.09E+11,4.52E+11,61765678778,52454669750,43888442553,0.121377026,0.116041462,0.090210905,0.096845794
990413,"Kota Solok",6.89E+11,5.60E+11,5.29E+11,4.65E+11,46000000000,23000000000,27329772639,0.087026234,0.049423977,0.066759614,0.041065771
997611,"Kota Pariaman",7.91E+11,6.11E+11,5.54E+11,4.84E+11,58856455798,58856455798,71219523525,0.106242039,0.121509524,0.074410718,0.096368273
987595,"Kab. Pasaman Barat",1.35E+12,1.16E+12,1.07E+12,9.42E+11,1.43E+11,83178541136,0,0.133542823,0.088270047,0.10620816,0.071918777
987574,"Kab. Dharmasraya",1.10E+12,9.49E+11,8.03E+11,7.19E+11,1.05E+11,78242243450,30385863878,0.130499967,0.108812193,0.094902936,0.082415374
987581,"Kab. Solok Selatan",9.57E+11,7.87E+11,7.99E+11,6.85E+11,70918707162,54959747021,55130398060,0.088706576,0.080224609,0.07409939,0.069877582
990455,"Provinsi Riau",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990476,"Kab. Bengkalis",3.82E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
990502,"Kab. Indragiri Hilir",2.39E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
990497,"Kab. Indragiri Hulu",1.50E+12,1.32E+12,1.08E+12,9.69E+11,1.16E+11,1.07E+11,85000940600,0.107307475,0.110627056,0.077686303,0.081338919
990462,"Kab. Kampar",2.77E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
980138,"Kab. Kuantan Singingi",1.42E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
980074,"Kab. Pelalawan",1.54E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
980095,"Kab. Rokan Hilir",2.14E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
980081,"Kab. Rokan Hulu",1.47E+12,1.48E+12,1.48E+12,1.25E+12,1.45E+11,1.45E+11,45342467504,0.097897296,0.115735731,0.098287073,0.097892384
980100,"Kab. Siak",2.27E+12,3.31E+12,1.94E+12,1.55E+12,2.40E+11,2.26E+11,2.21E+11,0.123638596,0.145072785,0.105880531,0.068189027
980142,"Kota Dumai",1.43E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
990519,"Kota Pekanbaru",2.61E+12,2.09E+12,1.42E+12,1.23E+12,9.94E+11,6.40E+11,1.11E+11,0.701690565,0.520141089,0.380329373,0.306774275
978417,"Kab. Kepulauan Meranti",1.41E+12,1.07E+12,1.04E+12,8.41E+11,1.06E+11,97823694782,86397412800,0.101576887,0.116366271,0.075230973,0.091189107
990530,"Provinsi Jambi",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990544,"Kab. Batang Hari",1.50E+12,9.40E+11,1.05E+12,8.83E+11,1.65E+11,1.20E+11,0,0.156719289,0.135573346,0.109827344,0.127353339
990565,"Kab. Bungo",1.85E+12,1.70E+12,9.42E+11,7.96E+11,1.53E+11,1.50E+11,1.65E+11,0.162651428,0.188625332,0.083028648,0.088238827
990586,"Kab. Kerinci",1.44E+12,9.51E+11,9.23E+11,7.87E+11,1.08E+11,98595066000,26635950995,0.117213394,0.125356235,0.075260377,0.103714892
990572,"Kab. Merangin",1.68E+12,1.47E+12,1.25E+12,1.09E+12,95221421001,77287518942,27717400349,0.075907394,0.070731802,0.056817215,0.052497218
980184,"Kab. Muaro Jambi",1.58E+12,1.12E+12,1.12E+12,9.54E+11,99627400401,84264028066,86110803273,0.089186758,0.088348794,0.062946501,0.075239569
980163,"Kab. Sarolangun",1.36E+12,1.21E+12,1.07E+12,9.47E+11,95428341000,92785966000,23896655000,0.088842791,0.097986169,0.070374472,0.076960116
990551,"Kab. Tanjung Jabung Barat",1.58E+12,1.42E+12,1.31E+12,1.07E+12,1.04E+11,95433707670,1.02E+11,0.079640196,0.089474453,0.066006893,0.067002338
980522,"Kab. Tanjung Jabung Timur",1.26E+12,9.84E+11,9.76E+11,7.71E+11,52166378761,50197691473,59214060000,0.053443854,0.065115805,0.041310366,0.0510049
980170,"Kab. Tebo",1.21E+12,1.08E+12,9.82E+11,8.57E+11,77125467881,77125467881,0,0.078559746,0.089984123,0.063958798,0.071573567
990590,"Kota Jambi",2.21E+12,2.09E+12,1.13E+12,1.02E+12,4.03E+11,3.70E+11,58211923000,0.358059446,0.363011987,0.182350873,0.177257783
977562,"Kota Sungai Penuh",8.47E+11,7.38E+11,6.42E+11,5.59E+11,48174184049,24720371496,0,0.075035408,0.044255144,0.056874004,0.033489526
990608,"Provinsi Sumatera Selatan",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990661,"Kab. Lahat",2.04E+12,1.55E+12,1.69E+12,1.44E+12,1.20E+11,1.03E+11,1.24E+11,0.070625343,0.071505495,0.058551962,0.066404759
990633,"Kab. Musi Banyuasin",3.47E+12,2.08E+12,2.61E+12,2.19E+12,3.39E+11,1.05E+11,3.04E+11,0.1296026,0.047948613,0.097761244,0.050417532
990675,"Kab. Musi Rawas",1.72E+12,1.64E+12,1.22E+12,1.11E+12,1.54E+11,1.78E+11,87174508880,0.125953364,0.15948579,0.089931511,0.1079823
990654,"Kab. Muara Enim",2.67E+12,2.61E+12,2.27E+12,1.88E+12,2.52E+11,2.22E+11,98530137420,0.11076346,0.117898343,0.094169885,0.085023195
990682,"Kab. Ogan Komering Ilir",2.65E+12,2.05E+12,1.58E+12,1.35E+12,2.90E+11,2.85E+11,92190400000,0.183821039,0.210600113,0.109675365,0.139206713
990640,"Kab. Ogan Komering Ulu",1.60E+12,6.10E+11,1.20E+12,1.15E+12,1.61E+11,1.37E+11,26741260774,0.134054119,0.118906506,0.100684976,0.223925699
990696,"Kota Palembang",4.69E+12,3.54E+12,2.11E+12,1.91E+12,1.84E+12,8.58E+11,4.81E+11,0.874749624,0.449520483,0.392951441,0.242527158
994712,"Kota Prabumulih",1.03E+12,1.09E+12,8.18E+11,7.03E+11,1.06E+11,1.13E+11,27252793000,0.129214842,0.16074783,0.102401628,0.10366522
994729,"Kota Pagar Alam",7.43E+11,5.67E+11,6.44E+11,5.28E+11,65337500884,75887793140,68917883343,0.101520868,0.143743743,0.08790168,0.133885099
994733,"Kota Lubuk Linggau",1.03E+12,1.16E+12,8.82E+11,8.82E+11,1.18E+11,1.18E+11,22500000000,0.133471202,0.133471202,0.114744663,0.101562899
997557,"Kab. Banyuasin",2.51E+12,3.98E+12,1.55E+12,1.37E+12,1.84E+11,1.93E+11,48974541886,0.118784567,0.140696144,0.073234945,0.04841132
987560,"Kab. Ogan Ilir",1.68E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
987549,"Kab. OKU Timur",1.89E+12,1.44E+12,1.56E+12,1.38E+12,1.08E+11,93561284218,1.72E+11,0.069321522,0.067912167,0.057150474,0.06479471
987553,"Kab. OKU Selatan",1.48E+12,1.33E+12,1.22E+12,1.11E+12,66233818602,62542313287,38457167106,0.054267024,0.056158545,0.044807104,0.046970279
963342,"Kab. Empat Lawang",1.10E+12,9.87E+11,9.36E+11,8.00E+11,56561822055,43901822055,18303526850,0.060408007,0.054875175,0.051215348,0.044492513
999011,"Kab. Penukal Abab Lematang Ilir",1.67E+12,1.06E+12,1.17E+12,7.84E+11,1.14E+11,1.07E+11,50168050208,0.097788919,0.136465601,0.068709085,0.10051433
999015,"Kab. Musi Rawas Utara",1.13E+12,7.10E+11,8.42E+11,8.54E+11,56214544000,56214544000,46846319629,0.066798242,0.065834014,0.049737968,0.079136879
990718,"Provinsi Bengkulu",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990739,"Kab. Bengkulu Selatan",1.10E+12,8.86E+11,1.32E+11,1.32E+11,80341995800,80341995800,1164900000,0.608125036,0.608125036,0.073056636,0.090646986
990722,"Kab. Bengkulu Utara",1.34E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
990743,"Kab. Rejang Lebong",1.22E+12,1.16E+12,9.67E+11,8.58E+11,91721987707,1.67E+11,1.11E+11,0.094872171,0.195112757,0.074933786,0.144196296
990750,"Kota Bengkulu",1.53E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
998215,"Kab. Kaur",9.22E+11,8.18E+11,6.41E+11,5.62E+11,74328699019,67861965007,15587000000,0.116039789,0.120815999,0.080619124,0.082923251
998201,"Kab. Seluma",1.03E+12,9.38E+11,7.44E+11,6.44E+11,61896476255,56902547830,10551042600,0.083230922,0.0883692,0.060190737,0.060646718
998503,"Kab. Mukomuko",1.08E+12,9.80E+11,8.63E+11,7.73E+11,1.26E+11,1.26E+11,12096167000,0.146171462,0.163183543,0.116501989,0.128822714
987600,"Kab. Lebong",8.02E+11,5.72E+11,5.94E+11,5.18E+11,47701948251,47701948251,0,0.080328735,0.092043375,0.059502162,0.083387043
987617,"Kab. Kepahiang",8.72E+11,6.18E+11,7.02E+11,6.17E+11,44900410352,39025191780,18749173106,0.063970741,0.063235068,0.051510405,0.063135202
977710,"Kab. Bengkulu Tengah",8.20E+11,7.56E+11,7.78E+11,7.01E+11,25699524000,20013874000,24756322000,0.033030604,0.028558672,0.031331277,0.026468295
990764,"Provinsi Lampung",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
990807,"Kab. Lampung Barat",1.15E+12,9.75E+11,8.12E+11,6.80E+11,65728304508,62743506545,30223353580,0.080952308,0.092217924,0.057231826,0.064324304
990771,"Kab. Lampung Selatan",2.59E+12,2.31E+12,1.90E+12,1.68E+12,3.35E+11,3.00E+11,0,0.176492098,0.1792475,0.129378302,0.130110692
990785,"Kab. Lampung Tengah",2.81E+12,2.59E+12,2.32E+12,2.05E+12,2.11E+11,1.77E+11,0,0.090969099,0.08621708,0.075170661,0.068155111
990792,"Kab. Lampung Utara",1.91E+12,1.68E+12,1.56E+12,1.38E+12,1.20E+11,1.11E+11,0,0.076943419,0.080606819,0.062631195,0.065909273
980191,"Kab. Lampung Timur",2.44E+12,2.21E+12,1.62E+12,1.39E+12,1.53E+11,1.39E+11,0,0.094869307,0.100355525,0.062962648,0.063116315
993351,"Kab. Tanggamus",1.92E+12,1.69E+12,1.60E+12,1.47E+12,1.18E+11,98380038213,58938385133,0.073652139,0.066758,0.061258268,0.058211252
993347,"Kab. Tulang Bawang",1.36E+12,1.17E+12,1.07E+12,9.03E+11,1.02E+11,92381666769,65296691624,0.095394153,0.102360245,0.075323875,0.078988257
980206,"Kab. Way Kanan",1.46E+12,1.13E+12,1.21E+12,1.05E+12,59801600703,57464600653,40345515057,0.049371441,0.054699726,0.040860598,0.050669968
990811,"Kota Bandar Lampung",3.06E+12,2.77E+12,1.50E+12,1.36E+12,1.13E+12,1.13E+12,85376734193,0.754611576,0.829074697,0.369073977,0.407620193
980210,"Kota Metro",1.01E+12,8.18E+11,6.39E+11,5.68E+11,1.78E+11,1.74E+11,46651961790,0.279438676,0.306768532,0.176433998,0.212976907
975311,"Kab. Pesawaran",1.44E+12,1.23E+12,1.18E+12,1.04E+12,73216422234,46711982234,0,0.062145295,0.044792818,0.050755173,0.037856666
978423,"Kab. Pringsewu",1.35E+12,0,8.91E+11,7.68E+11,1.18E+11,1.04E+11,1.13E+11,0.132800007,0.13604223,0.087921053,#DIV/0!
978432,"Kab. Mesuji",9.35E+11,7.51E+11,7.65E+11,6.48E+11,47207416981,39674338088,24549794979,0.061704011,0.061251266,0.050467125,0.052854719
