kode_prov,kode_kab,kode,nama_pemda,tkdd_pendapatan,tkdd_belanja,perubahan_apbd,grouping
16,72,1672,KOTA PAGAR ALAM,"0,87","0,87","-0,24",mandiri
65,4,6504,TANA TIDUNG,"0,86","0,81","-0,03",mandiri
81,72,8172,KOTA TUAL,"0,85","0,85","-1,00",mandiri
64,11,6411,MAHAKAM ULU,"0,85","0,79","-0,46",mandiri
91,10,9110,SARMI,"0,85","0,85","-1,00",mandiri
82,72,8272,KOTA TIDORE KEPULAUAN,"0,84","0,83","-0,10",mandiri
74,10,7410,BUTON UTARA,"0,84","0,82","-0,12",mandiri
82,5,8205,KEPULAUAN SULA,"0,84","0,80","-0,12",mandiri
16,6,1606,MUSI BANYUASIN,"0,83","0,80","-0,40",mandiri
12,15,1215,PAKPAK BHARAT,"0,83","0,81","-0,11",mandiri
91,19,9119,SUPIORI,"0,83","0,79","-1,00",mandiri
91,20,9120,MAMBERAMO RAYA,"0,83","0,77","-1,00",mandiri
16,73,1673,KOTA LUBUKLINGGAU,"0,83","0,86","-0,25",mandiri
74,7,7407,WAKATOBI,"0,83","0,80","-0,11",mandiri
52,72,5272,KOTA BIMA,"0,82","0,74","-0,20",mandiri
91,21,9121,MAMBERAMO TENGAH,"0,82","0,78",#DIV/0!,mandiri
74,12,7412,KONAWE KEPULAUAN,"0,82","0,81",#DIV/0!,mandiri
13,9,1309,KEPULAUAN MENTAWAI,"0,82","0,79","-0,20",mandiri
21,5,2105,KEPULAUAN ANAMBAS,"0,82","0,71","-1,00",mandiri
19,3,1903,BANGKA SELATAN,"0,82","0,75","-0,21",mandiri
91,15,9115,WAROPEN,"0,82","0,98",#DIV/0!,mandiri
15,7,1507,TANJUNG JABUNG TIMUR,"0,82","0,77","-0,22",mandiri
81,6,8106,SERAM BAGIAN BARAT,"0,82","0,79","-0,32",mandiri
53,16,5316,NAGEKEO,"0,82","0,79","-0,16",mandiri
81,3,8103,MALUKU TENGGARA BARAT,"0,82","0,80","-0,15",mandiri
13,11,1311,SOLOK SELATAN,"0,81","0,78","-0,18",mandiri
71,10,7110,BOLAANG MONGONDOW TIMUR,"0,81","0,79","-0,09",mandiri
74,3,7403,MUNA,"0,81","0,82","-1,00",mandiri
74,14,7414,BUTON TENGAH,"0,81","0,80","-0,16",mandiri
12,74,1274,KOTA TANJUNG BALAI,"0,81","0,73","-0,28",mandiri
13,72,1372,KOTA SOLOK,"0,81","0,72","-0,19",mandiri
91,28,9128,DEIYAI,"0,81","0,84","-0,12",mandiri
53,17,5317,SUMBA TENGAH,"0,81","0,79","-0,19",mandiri
71,72,7172,KOTA BITUNG,"0,81","0,79","-0,12",mandiri
13,73,1373,KOTA SAWAHLUNTO,"0,81","0,75","-0,21",mandiri
61,11,6111,KAYONG UTARA,"0,81","0,76","0,10",mandiri
72,7,7207,BANGGAI KEPULAUAN,"0,81","0,75","-0,13",mandiri
74,13,7413,MUNA BARAT,"0,80","0,80","0,00",mandiri
91,16,9116,BOVEN DIGOEL,"0,80","0,81","-0,12",mandiri
72,12,7212,MOROWALI UTARA,"0,80","0,79","-0,15",mandiri
71,11,7111,BOLAANG MONGONDOW SELATAN,"0,80","0,79","-0,21",mandiri
74,15,7415,BUTON SELATAN,"0,80","0,66","-0,44",mandiri
81,9,8109,BURU SELATAN,"0,80","0,78","-0,15",mandiri
62,8,6208,SUKAMARA,"0,80","0,79","-0,17",mandiri
17,1,1701,BENGKULU SELATAN,"0,80","0,78","-0,19",mandiri
21,4,2104,LINGGA,"0,80","0,72","-0,17",mandiri
91,27,9127,INTAN JAYA,"0,80","0,80",#DIV/0!,mandiri
76,5,7605,MAJENE,"0,80","0,80","-0,14",mandiri
12,72,1272,KOTA PEMATANGSIANTAR,"0,79","0,73","-0,08",mandiri
21,3,2103,NATUNA,"0,79","0,72","-1,00",mandiri
91,4,9104,NABIRE,"0,79","0,85",#DIV/0!,mandiri
65,1,6501,BULUNGAN,"0,79","0,74","-0,09",mandiri
81,1,8101,MALUKU TENGAH,"0,79","0,78","-0,03",mandiri
65,2,6502,MALINAU,"0,79","0,79","-0,13",mandiri
71,73,7173,KOTA TOMOHON,"0,79","0,77","-0,15",mandiri
13,3,1303,SIJUNJUNG,"0,79","0,74","-0,13",mandiri
73,7,7307,SINJAI,"0,79","0,69","-0,22",mandiri
13,2,1302,SOLOK,"0,79","0,77","-0,11",mandiri
15,72,1572,KOTA SUNGAI PENUH,"0,79","0,76","-0,13",mandiri
76,6,7606,MAMUJU TENGAH,"0,79","0,82","-0,23",mandiri
71,8,7108,BOLAANG MONGONDOW UTARA,"0,79","0,77","-0,26",mandiri
17,9,1709,BENGKULU TENGAH,"0,79","0,77","-0,08",mandiri
91,26,9126,DOGIYAI,"0,79","0,73","-0,09",mandiri
75,2,7502,BOALEMO,"0,79","0,76","-0,13",mandiri
53,14,5314,ROTE NDAO,"0,79","0,77","-0,17",mandiri
61,7,6107,BENGKAYANG,"0,79","0,79","-0,11",mandiri
14,3,1403,BENGKALIS,"0,79","0,73","-1,00",mandiri
13,6,1306,AGAM,"0,78","0,77","-0,25",mandiri
62,12,6212,MURUNG RAYA,"0,78","0,78","-0,18",mandiri
91,25,9125,PUNCAK,"0,78","0,68","-1,00",mandiri
12,77,1277,KOTA PADANG SIDIMPUAN,"0,78","0,77","-0,18",mandiri
12,23,1223,LABUHANBATU UTARA,"0,78","0,76","-0,12",mandiri
73,12,7312,SOPPENG,"0,78","0,77","-0,18",mandiri
52,7,5207,SUMBAWA BARAT,"0,78","0,77","-0,12",mandiri
72,11,7211,BANGGAI LAUT,"0,78","0,64","-0,04",mandiri
72,3,7203,DONGGALA,"0,78","0,56","-0,38",mandiri
13,10,1310,DHARMASRAYA,"0,78","0,73","-0,14",mandiri
81,4,8104,BURU,"0,78","0,78","-1,00",mandiri
15,6,1506,TANJUNG JABUNG BARAT,"0,78","0,74","-0,10",mandiri
72,10,7210,SIGI,"0,78","0,53","-0,42",mandiri
62,6,6206,KATINGAN,"0,78","0,73","-0,14",mandiri
13,7,1307,LIMA PULUH KOTA,"0,78","0,74","-1,00",mandiri
82,8,8208,PULAU TALIABU,"0,78","0,75","-0,01",mandiri
81,2,8102,MALUKU TENGGARA,"0,78","0,78","-0,14",mandiri
74,72,7472,KOTA BAU BAU,"0,78","0,72","-0,22",mandiri
81,5,8105,SERAM BAGIAN TIMUR,"0,77","0,77","-0,21",mandiri
64,2,6402,KUTAI KARTANEGARA,"0,77","0,74","-0,15",mandiri
13,5,1305,PADANG PARIAMAN,"0,77","0,77","-0,06",mandiri
76,1,7601,MAMUJU UTARA,"0,77","0,75","-0,08",mandiri
91,12,9112,PEGUNUNGAN BINTANG,"0,77","0,77","-0,10",mandiri
74,4,7404,BUTON,"0,77","0,63","-0,11",mandiri
74,11,7411,KOLAKA TIMUR,"0,77","0,77",#DIV/0!,mandiri
62,11,6211,PULANG PISAU,"0,77","0,75","-0,16",mandiri
71,9,7109,KEP. SIAU TAGULANDANG BIARO,"0,77","0,75","-0,22",mandiri
75,4,7504,PAHUWATO,"0,77","0,76","-0,15",mandiri
14,10,1410,KEPULAUAN MERANTI,"0,77","0,74","-0,24",mandiri
13,74,1374,KOTA PADANG PANJANG,"0,77","0,71","-0,14",mandiri
17,8,1708,KEPAHIANG,"0,77","0,70","-0,29",mandiri
16,13,1613,MUSI RAWAS UTARA,"0,77","0,75","-0,37",mandiri
