kode,nama_pemda,tkdd_pendapatan,tkdd_belanja,perubahan_apbd,selisih_pasca,selisih_tkdd,selisih_pad,selisih_blpeg,selisih_blbj,selisih_blmod,selisih_btt,bl_kes,bl_jps,pl_pde,totbl_covid
1607,BANYUASIN,0.69614516867786100000,0.63503748948941800000,0.58481598611080400000,-1469331096060,-178952299500,8763709467,-5042300000,-165269013286,-45082209258,-222275547919,2670409000.00,844750000.00,45459382886.00,48974541886.00
1408,SIAK,0.74791443471584200000,0.74659509510967500000,0.45841119707384500000,-1039466562587,-387453724545,-14586850000,-3563437616,-181812698236,-152606884907,-208273496352,145774658999.00,68181313000.00,6682193772.00,220638165771.00
3206,TASIKMALAYA,0.69029115680304400000,0.68598659750645200000,0.12761569385897400000,-415303382399,-256685989360,-16985376947,-94376297185,-134534898524,-74681344430,-36751027167,4972201000.00,43500000000.00,0.00,48472201000.00
3209,CIREBON,0.57600906241867700000,0.56859332369900600000,0.11293901403776700000,-410203152353,-22305706385,-54269671300,27871226092,202453737335,144313238926,43215888000,87088990000.00,37534938000.00,14766366230.00,139390294230.00
3213,SUBANG,0.64999323317456800000,0.57380860456136700000,0.10165605973330200000,-347130687468,-199773218027,-149303243062,-150000000000,0,0,150000000000,56788535750.00,60936822500.00,650000000.00,118375358250.00
3217,BANDUNG BARAT,0.58121713897370400000,0.50041783048223900000,0.06729304446864540000,-220718001791,53986378344,-208755000000,-93257313383,-15376154712,243054154286,100427315600,96690879300.00,121100000000.00,6230000000.00,224020879300.00
1901,BANGKA,0.69370946430141800000,0.63697597125219400000,0.14871984461865000000,-148873028743,107332308396,-45779767050,103101239045,11943747730,32707994289,2847547679,0.00,0.00,0.00,0.00
1671,KOTA PALEMBANG,0.45236940969178000000,0.44897557549605700000,0.12978916370407700000,-133116110092,0,0,-2050276990,-17918723010,-31000000,20000000000,2500000000.00,16500000000.00,3500000000.00,22500000000.00
3207,CIAMIS,0.72233067434829100000,0.71269285766861900000,0.05294582438778320000,-132739075333,-176033847819,-7136099250,-27089406532,-34488368039,157639658347,63679691557,10567717500.00,27495800000.00,74942750000.00,113006267500.00
6311,BALANGAN,0.75532736456380500000,0.69353890811170100000,0.07861675854616340000,-98389035476,0,0,-256850000,-24841989252,-1859570272,0,8500000000.00,5406845406.00,16051564118.00,29958409524.00
6111,KAYONG UTARA,0.80534359594238100000,0.75960871543268500000,0.10335470303025300000,-69229078568,-87705007000,-1795905848,-6138371896,-71223359210,-85931784327,11699735813,75371718673.00,143299000.00,786987793.00,76302005466.00
1674,KOTA PRABUMULIH,0.76744871616389600000,0.72099446416134200000,0.05652775891558340000,-58332200396,-114691259025,7350947843,30913001351,-25372917955,-17209268000,17255370000,5933169000.00,14189624000.00,7130000000.00,27252793000.00
1204,NIAS,0.62252150973521100000,0.60061910273982900000,0.06739189996631680000,-58212341984,-98702080716,-1851600000,-17328550341,-39082439039,-38072648447,0,5530800000.00,4739750000.00,1729450000.00,12000000000.00
3278,KOTA TASIKMALAYA,0.69922197803711800000,0.68677958857294100000,0.03284518100001270000,-56274635913,-131222780000,-46444978937,-29957287926,-262958191612,35975278766,65471180000,22160880000.00,41810300000.00,2500000000.00,66471180000.00
3512,SITUBONDO,0.70216510795221500000,0.66624740928091500000,0.02798616020254750000,-51548951607,0,0,-352915000,-6071392008,993375200,5430931808,0.00,0.00,0.00,0.00
3319,KUDUS,0.58706017699159900000,0.55610065335508500000,0.01748819149517790000,-33428179000,194303623000,-71977256000,132153539000,-42930373000,-89854632000,42877661000,36694840500.00,46143322500.00,5500000000.00,88338163000.00
6308,HULU SUNGAI UTARA,0.63871832206554800000,0.58813928407639000000,0.01441008159607280000,-17546647000,-96975836000,0,-19643452500,-73800586760,-123899053129,108054558389,0.00,0.00,0.00,0.00
1276,KOTA TEBING TINGGI,0.72641730787517300000,0.68381680405617300000,0.02231643943917420000,-14654153805,50276322999,-1941750000,21138259150,-29553580900,18816121539,22544254016,28127581268.00,789102000.00,0.00,28916683268.00
1406,ROKAN HULU,0.70697745766507500000,0.69134209951133900000,0.00403186645469434000,-5931517044,-227653656447,0,-23784867500,-90848157785,-135996251503,-37522394851,39789117604.00,571834000.00,4981515900.00,45342467504.00
7413,MUNA BARAT,0.80477958300395800000,0.80271207910395200000,0.00162453446841031000,1075000000,0,0,98320000,-10610628460,-3873442640,14385751100,10234069100.00,2862082000.00,1289600000.00,14385751100.00
8208,PULAU TALIABU,0.77554024136672200000,0.74636357213064500000,0.00863183018040089000,6000000000,0,0,69109584850,-69107584850,0,106209411500,28082484748.00,7936890000.00,0.00,36019374748.00
8203,HALMAHERA UTARA,0.61694593292957400000,0.59946786086195600000,0.00611444796005935000,7410000000,0,0,-675371000,-4962006500,-19640775000,25693152500,22112132500.00,1500000000.00,12500000000.00,36112132500.00
6201,KOTAWARINGIN BARAT,0.66465197155004900000,0.62951894116287900000,0.00527159467824094000,8950000000,-109401139000,-46923560000,0,0,0,0,54236535550.00,8814475000.00,11948989450.00,75000000000.00
6108,LANDAK,0.72852766632747000000,0.72212287743520200000,0.00750448932488169000,11149535000,-183172015000,-24723495800,0,0,0,0,0.00,0.00,0.00,0.00
6310,TANAH BUMBU,0.67713837805779000000,0.59496717038533100000,0.00894122898287050000,17500000000,0,0,-16401879001,-66408687440,-56646433558,139457000000,32162900000.00,8027500000.00,124541450000.00,164731850000.00
1207,DELI SERDANG,0.52402911547118600000,0.52047278881200400000,0.00450395980216022000,18000000000,0,0,-13458108696,-43010449708,-71531441596,128000000000,35249257012.00,87454556640.00,26643640000.00,149347453652.00
1208,SIMALUNGUN,0.71854632981434300000,0.74385264462168500000,0.00811424466399261000,18059251012,-221374756000,-42783380000,-59067950000,-59269243573,-120299301000,110536236073,45246135000.00,25000000000.00,44200784820.00,114446919820.00
6504,TANA TIDUNG,0.86208963876756500000,0.80578681251962100000,0.02660592626720590000,22405946897,0,0,-19922249067,-7993899552,6182262362,1100608863,16120659605.00,2664435488.00,1837470604.00,20622565697.00
3201,BOGOR,0.33968397765772300000,0.29921736228453900000,0.00344120112504925000,26471181000,-289795549000,-647982001000,-97123167000,-283535150000,-678552172000,1097840508000,199107350090.00,263574000000.00,4028000000.00,466709350090.00
7211,BANGGAI LAUT,0.77980280816669500000,0.64034042118679800000,0.04248158102709930000,36269288430,-64167326624,-11800011279,13879559725,-22633272476,-6220468069,-18295107610,8900000000.00,7100000000.00,4000000000.00,20000000000.00
1971,KOTA PANGKALPINANG,0.69019040966608600000,0.60246830447232400000,0.05559513474612200000,48430043710,37434142000,-26582217785,5019149062,-42994576931,-8393358144,-1846027697,22296737925.00,7200000000.00,15600000000.00,45096737925.00
1201,TAPANULI TENGAH,0.72335764951267500000,0.63742472310241600000,0.03475412269549510000,50467488956,-82852726870,-4652501968,-16562932500,1048086696,-29369391469,1624718335,18137952027.00,1374350000.00,4619175000.00,24131477027.00
3673,KOTA SERANG,0.67278582495084100000,0.63747766720272300000,0.03760664720923180000,53585539444,-102099600918,-28200000000,-45364792658,-42433039673,-43210107113,97977400000,43387218200.00,9144003000.00,35468778800.00,88000000000.00
8101,MALUKU TENGAH,0.79181837142269300000,0.78237555793259000000,0.03070564697108150000,56387979000,-199921335000,0,-14748186691,-30814004098,-70096819211,62406031000,33500000000.00,18575273000.00,3985400000.00,56060673000.00
7110,BOLAANG MONGONDOW TIMUR,0.81235942886154100000,0.78870199566535300000,0.09209103291947570000,61440609483,-58503494505,-2328548572,-3130108156,-43830778479,-52023082516,43043359668,11935570000.00,2312591054.00,9603854801.00,23852015855.00
1603,MUARA ENIM,0.72166150015305700000,0.72203574156643600000,0.02371322910110970000,63429874176,-390887789400,-29859245009,75067758024,-157834671436,-207265346953,115072880317,30909137420.00,51362100000.00,16258900000.00,98530137420.00
1702,REJANG LEBONG,0.72226360650566600000,0.68056877850151600000,0.05207203206394930000,63738275634,-109284780000,75589293386,-7177139001,-54466601357,-95693290351,94409335900,87578820000.00,17575864000.00,5447875000.00,110602559000.00
1709,BENGKULU TENGAH,0.78749874386318800000,0.77332253375241300000,0.07815435395597260000,64106219253,-77253410222,-5685650000,-12359255864,-37597328930,-16908386552,4561733093,20756322000.00,3500000000.00,500000000.00,24756322000.00
1215,PAKPAK BHARAT,0.83175169112989500000,0.80520280402076800000,0.11494451282138200000,66964033449,-83349322000,-1861400000,-1193808174,-40898320311,-39814551916,15117646952,16122177361.00,1651000000.00,4053248191.00,21826425552.00
1605,MUSI RAWAS,0.72944394290748300000,0.71400642368268800000,0.04129145331919100000,70820395479,-111308965000,23312181521,-19611780801,-95520476115,4470591996,39841269441,36582989880.00,17420242200.00,33171276800.00,87174508880.00
7601,MAMUJU UTARA,0.77298845838701800000,0.74931924475839100000,0.08201755210923430000,76704334235,-73416428000,-4359550072,-7064412852,-40831000408,-32734908369,5365987394,20400422994.00,7940000000.00,7688707700.00,36029130694.00
5320,SABU RAIJUA,0.74461631183558100000,0.64115790618476000000,0.09153911781024840000,76870380625,-64493752825,-5249821800,-7512675567,-60016059116,-60132393412,57290747470,66965032270.00,0.00,0.00,66965032270.00
