,year,vio,mur,rob,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,stateid,shall
0,77,414.4,14.2,96.8,83,8.384.873,55.122.906,18.174.412,3.780.403,95.631.485,745.524,1,0
1,78,419.1,13.3,99.1,94,8.352.101,55.143.665,1.799.408,3.831.838,9.932,7.556.673,1,0
2,79,413.3,13.2,109.5,144,8.329.575,55.135.857,17.839.336,3.866.248,98.770.275,7.624.532,1,0
3,80,448.5,13.2,132.1,141,8.408.386,54.912.586,17.734.198,3.900.368,9.541.428,7.682.881,1,0
4,81,470.5,11.9,126.5,149,8.483.435,54.925.125,17.673.716,3.918.531,9.548.351,7.718.658,1,0
5,82,447.7,10.6,112.0,183,8.514,5.489.621,17.510.519,3.925.229,9.478.919,7.731.851,1,0
6,83,416.0,9.2,98.4,215,8.545.608,54.839.363,17.350.893,3.934.103,9.783,7.749.331,1,0
7,84,431.2,9.4,96.1,243,8.559.511,54.778.755,17.119.022,3.951.826,10.3572,77.842.414,1,0
8,85,457.5,9.8,105.4,256,8.562.801,54.678.993,16.858.746,397.252,10.725.858,7.825.004,1,0
9,86,558.0,10.1,111.6,267,8.566.521,54.517.906,16.576.092,3.991.562,11.091.618,7.862.513,1,0
10,87,559.2,9.3,112.2,283,8.592.103,54.387.703,16.282.295,4.015.257,11.323.824,7.909.188,1,0
11,88,558.6,9.9,117.8,307,8.618.144,5.423.505,15.992.702,4.023.848,11.654.964,79.261.094,1,0
12,89,590.8,10.2,133.9,300,8.638.031,54.066.223,15.675.233,4.030.224,11.963.897,7.938.669,1,0
13,90,708.6,11.6,143.7,328,8.699.674,5.607.016,15.380.703,4.048.508,12.063.984,7.977.356,1,0
14,91,844.2,11.5,152.8,370,8.771.641,55.973.526,15.183.139,4.091.025,12.087.816,80.611.326,1,0
15,92,871.7,11.0,164.9,394,8.877.969,55.809.517,15.025.576,4.139.269,1.239.802,8.156.195,1,0
16,93,780.4,11.6,159.5,407,8.972.758,5.566.076,14.862.964,4.193.114,12.3958,8.262.293,1,0
17,94,683.7,11.9,171.2,431,9.047.583,5.550.783,14.677.443,4.232.965,1.267.392,8.340.818,1,0
18,95,632.4,11.2,185.8,450,9.094.921,55.331.875,14.545.487,4.262.731,12.872.682,83.994.694,1,0
19,96,565.4,10.0,167.0,471,914.942,55.314.198,144.180.155,4.290.403,12.908.915,84.539.965,1,0
20,97,564.5,9.9,160.5,492,9.206.091,5.515.972,14.307.334,4.320.281,13.121.109,85.128.695,1,0
21,98,512.1,8.1,130.9,500,92.575.865,55.257.446,14.169.841,4.351.037,13.514.098,8.573.472,1,0
22,99,490.2,7.9,121.2,519,9.331.416,5.529.781,14.005.202,4.369.862,13.737.256,8.610.565,1,0
23,77,443.2,10.8,96.8,63,7.835.672,621.413,22.352.686,403.437,20.296.825,7.082.813,2,0
24,78,441.9,12.9,91.3,75,79.456.177,6.265.009,22.056.063,404.764,19.044.992,71.061.094,2,0
25,79,491.1,13.3,109.6,127,8.057.296,63.095.993,21.974.014,402.753,18.115.889,7.070.804,2,0
26,80,436.0,8.9,81.8,133,8.123.558,627.206,21.550.646,405.315,17.901.663,71.004.126,2,0
27,81,615.8,14.6,114.6,143,8.153.878,6.280.371,21.016.613,418.488,18.075.232,7.331.181,2,0
28,82,623.7,18.5,133.8,170,8.149.489,62.895.927,20.323.792,449.611,18.967.127,78.764.017,2,0
29,83,613.8,13.8,97.1,194,8.114.173,6.286.964,19.542.112,488.417,19.045,85.562.153,2,0
30,84,621.6,11.6,109.4,219,8.094.755,62.414.276,18.851.555,513.703,18.590.216,8.999.182,2,0
31,85,581.8,9.8,92.9,252,805.383,6.188.262,18.229.195,532.492,187.052,93.283.324,2,0
32,86,570.4,8.6,88.0,288,8.0824,61.269.703,1.781.123,544.269,17.906.391,95.346.454,2,0
33,87,455.4,10.1,73.1,306,8.185.459,60.439.266,17.497.173,53.931,16.955.917,9.447.772,2,0
34,88,522.8,5.7,72.9,339,839.216,6.009.351,17.206.291,541.982,16.740.644,94.945.804,2,0
35,89,497.7,8.0,67.6,355,85.561.075,59.824.036,17.133.781,547.153,17.285.378,9.585.168,2,0
36,90,524.5,7.5,76.7,361,8.630.677,60.083.344,16.999.746,55.312,17.311.878,9.697.497,2,0
37,91,613.9,7.4,113.2,348,8.526.665,6.035.909,1.656.165,569.273,17.005.983,9.980.696,2,0
38,92,660.5,7.5,109.0,345,8.534.543,60.755.478,16.345.839,587.073,1.697.823,10.292.773,2,0
39,93,760.8,9.0,122.4,327,8.630.754,60.760.178,1.619.282,596.993,17.067.907,10.466.693,2,0
40,94,766.3,6.3,146.2,446,8.593.396,60.872.025,15.975.386,600.624,16.970.016,10.530.354,2,0
41,95,770.9,9.1,155.1,317,8.624.999,61.200.478,15.758.176,601.345,16.871.891,10.542.995,2,1
42,96,727.7,7.4,117.0,338,875.226,6.123.177,158.195,604.918,16.546.194,10.605.638,2,1
